LOC_00000343-mRNA-1	sp|Q8N539|FBCD1_HUMAN	*-*	Fibrinogen C domain-containing protein 1		GO:0005515, GO:0005615, GO:0008061, GO:0016020, GO:0046872, GO:0062023
LOC_00000292-mRNA-1	tr|A0A8D8I8I7|A0A8D8I8I7_CULPI	***	Guanine nucleotide exchange factor MSS4 homolog		GO:0005085, GO:0007264, GO:0015031
LOC_00000334-mRNA-1	sp|B0WGM1|EFGM_CULQU	***	Elongation factor G, mitochondrial		GO:0000166, GO:0003746, GO:0003924, GO:0005525, GO:0005737, GO:0005739, GO:0006412, GO:0006414, GO:0070125
LOC_00000171-mRNA-1	tr|B0WAX7|B0WAX7_CULQU	***	ZAD domain-containing protein		GO:0005634, GO:0008270, GO:0046872
LOC_00000344-mRNA-1	tr|A0A1S4G879|A0A1S4G879_AEDAE	***	Rho-GAP domain-containing protein		GO:0005096, GO:0007165
LOC_00000344-mRNA-3	tr|A0A1S4G879|A0A1S4G879_AEDAE	***	Rho-GAP domain-containing protein		GO:0005096, GO:0007165
LOC_00000344-mRNA-2	tr|A0A1S4G879|A0A1S4G879_AEDAE	***	Rho-GAP domain-containing protein		GO:0005096, GO:0007165
LOC_00000344-mRNA-5	tr|A0A1S4G879|A0A1S4G879_AEDAE	***	Rho-GAP domain-containing protein		GO:0005096, GO:0007165
LOC_00000344-mRNA-4	tr|A0A1S4G879|A0A1S4G879_AEDAE	***	Rho-GAP domain-containing protein		GO:0005096, GO:0007165
LOC_00000344-mRNA-7	tr|A0A1S4G879|A0A1S4G879_AEDAE	***	Rho-GAP domain-containing protein		GO:0005096, GO:0007165
LOC_00000344-mRNA-6	tr|A0A1S4G879|A0A1S4G879_AEDAE	***	Rho-GAP domain-containing protein		GO:0005096, GO:0007165
LOC_00000213-mRNA-2	tr|B0X6D6|B0X6D6_CULQU	***	Transmembrane protein 115		GO:0006890, GO:0016020
LOC_00000344-mRNA-9	tr|A0A1S4G879|A0A1S4G879_AEDAE	***	Rho-GAP domain-containing protein		GO:0005096, GO:0007165
LOC_00000213-mRNA-1	tr|B0X6D6|B0X6D6_CULQU	***	Transmembrane protein 115		GO:0006890, GO:0016020
LOC_00000344-mRNA-8	tr|A0A1S4G879|A0A1S4G879_AEDAE	***	Rho-GAP domain-containing protein		GO:0005096, GO:0007165
LOC_00000455-mRNA-1	tr|B0W521|B0W521_CULQU	***	Ionotropic glutamate receptor L-glutamate and glycine-binding domain-containing protein		GO:0005886, GO:0015276, GO:0016020, GO:0034220, GO:0050906
LOC_00000501-mRNA-1	tr|B0XJ41|B0XJ41_CULQU	***	Serine protease		GO:0004252, GO:0006508, GO:0008233, GO:0016787
LOC_00000161-mRNA-1	tr|A0A084VV07|A0A084VV07_ANOSI	***	AGAP013435-PA-like protein		GO:0016020
LOC_00000223-mRNA-1	tr|A0A8D8HH85|A0A8D8HH85_CULPI	***	Cyclin-dependent kinase 1		GO:0000166, GO:0004672, GO:0004674, GO:0005524, GO:0005634, GO:0007049, GO:0016301, GO:0016310, GO:0016740, GO:0051301
LOC_00000282-mRNA-2	sp|Q66S17|NATT3_THANI	*-*	Natterin-3		GO:0005576, GO:0016787, GO:0035821, GO:0090729
LOC_00000282-mRNA-1	sp|Q66S17|NATT3_THANI	*-*	Natterin-3		GO:0005576, GO:0016787, GO:0035821, GO:0090729
LOC_00000500-mRNA-1	tr|A0A8D8APA1|A0A8D8APA1_CULPI	***	Endochitinase At2g43610		GO:0004568, GO:0006032, GO:0016998
LOC_00000186-mRNA-1	tr|A0A8D8JCP8|A0A8D8JCP8_CULPI	***	Ankyrin repeat protein RF_0381		GO:0007165
LOC_00000186-mRNA-2	tr|A0A8D8JCP8|A0A8D8JCP8_CULPI	***	Ankyrin repeat protein RF_0381		GO:0007165
LOC_00000316-mRNA-1	tr|A0A904MX29|A0A904MX29_CULQU	***	Zinc finger protein ush		GO:0003677, GO:0005634, GO:0006357, GO:0009653, GO:0030154, GO:0046872, GO:0061629
LOC_00000470-mRNA-1	tr|A0A8D8CLR0|A0A8D8CLR0_CULPI	***	KRR1 small subunit processome component		GO:0003723, GO:0005634, GO:0005730, GO:0006364, GO:0042254, GO:1990904
LOC_00000321-mRNA-2	tr|A0A182R307|A0A182R307_ANOFN	***	C2H2-type domain-containing protein		GO:0046872
LOC_00000321-mRNA-1	tr|A0A182R307|A0A182R307_ANOFN	***	C2H2-type domain-containing protein		GO:0046872
LOC_00000242-mRNA-1			Unknown protein		
LOC_00000439-mRNA-1	tr|A0A8D8BWV8|A0A8D8BWV8_CULPI	***	(northern house mosquito) hypothetical protein		GO:0005634, GO:0008270, GO:0046872
LOC_00000439-mRNA-2	tr|A0A8D8BS80|A0A8D8BS80_CULPI	***	(northern house mosquito) hypothetical protein		GO:0005634, GO:0008270, GO:0046872
LOC_00000439-mRNA-3	tr|A0A8D8BW86|A0A8D8BW86_CULPI	***	(northern house mosquito) hypothetical protein		GO:0005634, GO:0008270, GO:0046872
LOC_00000391-mRNA-1	tr|B0X3S6|B0X3S6_CULQU	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016705, GO:0020037, GO:0046872
LOC_00000400-mRNA-1	tr|A0A8D8BP98|A0A8D8BP98_CULPI	***	Neuroserpin		GO:0004867, GO:0005615, GO:0030414
LOC_00000400-mRNA-2	tr|A0A8D8FR36|A0A8D8FR36_CULPI	***	Neuroserpin		GO:0004867, GO:0005615, GO:0030414
LOC_00000400-mRNA-7	tr|A0A8D8BP12|A0A8D8BP12_CULPI	***	Neuroserpin		GO:0004867, GO:0005615, GO:0030414
LOC_00000400-mRNA-8	tr|A0A8D8BP12|A0A8D8BP12_CULPI	***	Neuroserpin		GO:0004867, GO:0005615, GO:0030414
LOC_00000400-mRNA-3	tr|A0A8D8BP98|A0A8D8BP98_CULPI	***	Neuroserpin		GO:0004867, GO:0005615, GO:0030414
LOC_00000400-mRNA-4	tr|A0A8D8FR36|A0A8D8FR36_CULPI	***	Neuroserpin		GO:0004867, GO:0005615, GO:0030414
LOC_00000400-mRNA-5	tr|A0A8D8BSA3|A0A8D8BSA3_CULPI	***	Neuroserpin		GO:0004867, GO:0005615, GO:0030414
LOC_00000400-mRNA-6	tr|A0A8D8BQD8|A0A8D8BQD8_CULPI	***	Neuroserpin		GO:0004867, GO:0005615, GO:0030414
LOC_00000518-mRNA-1	tr|B0XCA0|B0XCA0_CULQU	***	Cytochrome P450 71B11		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872, GO:0050896
LOC_00000444-mRNA-1	tr|A0A8D8GQN7|A0A8D8GQN7_CULPI	***	Zinc finger protein 845		GO:0005634, GO:0008270, GO:0046872
LOC_00000521-mRNA-1	tr|A0A8D8ACE6|A0A8D8ACE6_CULPI	***	Cytochrome P450 6d3		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872
LOC_00000237-mRNA-4	tr|A0A8D8K2L9|A0A8D8K2L9_CULPI	***	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000237-mRNA-3	tr|A0A8D8I2D0|A0A8D8I2D0_CULPI	***	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000237-mRNA-2	tr|A0A8D8I2D0|A0A8D8I2D0_CULPI	***	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000237-mRNA-1	tr|A0A8D8K2L9|A0A8D8K2L9_CULPI	***	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000237-mRNA-9	tr|A0A8D8I2D0|A0A8D8I2D0_CULPI	***	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000237-mRNA-8	tr|A0A8D8I2D0|A0A8D8I2D0_CULPI	***	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000386-mRNA-1	tr|A0A1S4H0Y4|A0A1S4H0Y4_ANOGA	***	Cellular retinaldehyde-binding protein		GO:1902936
LOC_00000237-mRNA-7	tr|A0A8D8I2D0|A0A8D8I2D0_CULPI	***	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000237-mRNA-6	tr|A0A8D8K2L9|A0A8D8K2L9_CULPI	***	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000237-mRNA-5	tr|A0A8D8I2D0|A0A8D8I2D0_CULPI	***	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000265-mRNA-1	tr|A0A8D8FWU0|A0A8D8FWU0_CULPI	***	Methionine--tRNA ligase, cytoplasmic		GO:0000166, GO:0003824, GO:0004812, GO:0004825, GO:0005524, GO:0006399, GO:0006412, GO:0006418, GO:0006431, GO:0016874, GO:0017101
LOC_00000263-mRNA-2	tr|B0WBN7|B0WBN7_CULQU	***	Cytochrome c oxidase assembly protein COX20, mitochondrial		GO:0005739, GO:0005743, GO:0016020, GO:0033617
LOC_00000263-mRNA-1	tr|B0WBN7|B0WBN7_CULQU	***	Cytochrome c oxidase assembly protein COX20, mitochondrial		GO:0005739, GO:0005743, GO:0016020, GO:0033617
LOC_00000363-mRNA-8	tr|A0A6I8T4I4|A0A6I8T4I4_AEDAE	***	LIM zinc-binding domain-containing protein		GO:0046872
LOC_00000363-mRNA-7	tr|A0A6I8T4I4|A0A6I8T4I4_AEDAE	***	LIM zinc-binding domain-containing protein		GO:0046872
LOC_00000363-mRNA-2	tr|A0A6I8T4I4|A0A6I8T4I4_AEDAE	***	LIM zinc-binding domain-containing protein		GO:0046872
LOC_00000363-mRNA-1	tr|A0A6I8T4I4|A0A6I8T4I4_AEDAE	***	LIM zinc-binding domain-containing protein		GO:0046872
LOC_00000363-mRNA-4	tr|A0A6I8T4I4|A0A6I8T4I4_AEDAE	***	LIM zinc-binding domain-containing protein		GO:0046872
LOC_00000363-mRNA-3	tr|A0A6I8T4I4|A0A6I8T4I4_AEDAE	***	LIM zinc-binding domain-containing protein		GO:0046872
LOC_00000363-mRNA-6	tr|A0A6I8T4I4|A0A6I8T4I4_AEDAE	***	LIM zinc-binding domain-containing protein		GO:0046872
LOC_00000363-mRNA-5	tr|A0A6I8T4I4|A0A6I8T4I4_AEDAE	***	LIM zinc-binding domain-containing protein		GO:0046872
LOC_00000318-mRNA-1	tr|A0A182QL53|A0A182QL53_9DIPT	***	Heparan sulfate 2-O-sulfotransferase		GO:0008146, GO:0016020
LOC_00000318-mRNA-2	tr|A0A182SPW5|A0A182SPW5_9DIPT	***	Heparan sulfate 2-O-sulfotransferase		GO:0008146, GO:0016020
LOC_00000467-mRNA-2			Unknown protein		
LOC_00000467-mRNA-1			Unknown protein		
LOC_00000270-mRNA-2	tr|A0A1Q3FIY7|A0A1Q3FIY7_CULTA	***	Protein phosphatase 1 regulatory subunit 14b		GO:0004864, GO:0005737, GO:0042325
LOC_00000270-mRNA-3	tr|A0A1Q3FIY7|A0A1Q3FIY7_CULTA	***	Protein phosphatase 1 regulatory subunit 14b		GO:0004864, GO:0005737, GO:0042325
LOC_00000270-mRNA-4	tr|A0A1Q3FIY7|A0A1Q3FIY7_CULTA	***	Protein phosphatase 1 regulatory subunit 14b		GO:0004864, GO:0005737, GO:0042325
LOC_00000270-mRNA-5	tr|A0A1Q3FIY7|A0A1Q3FIY7_CULTA	***	Protein phosphatase 1 regulatory subunit 14b		GO:0004864, GO:0005737, GO:0042325
LOC_00000270-mRNA-6	tr|A0A1Q3FIY7|A0A1Q3FIY7_CULTA	***	Protein phosphatase 1 regulatory subunit 14b		GO:0004864, GO:0005737, GO:0042325
LOC_00000270-mRNA-7	tr|A0A1Q3FIY7|A0A1Q3FIY7_CULTA	***	Protein phosphatase 1 regulatory subunit 14b		GO:0004864, GO:0005737, GO:0042325
LOC_00000270-mRNA-8	tr|A0A1Q3FIY7|A0A1Q3FIY7_CULTA	***	Protein phosphatase 1 regulatory subunit 14b		GO:0004864, GO:0005737, GO:0042325
LOC_00000270-mRNA-9	tr|A0A1Q3FIY7|A0A1Q3FIY7_CULTA	***	Protein phosphatase 1 regulatory subunit 14b		GO:0004864, GO:0005737, GO:0042325
LOC_00000270-mRNA-1	tr|A0A1Q3FIY7|A0A1Q3FIY7_CULTA	***	Protein phosphatase 1 regulatory subunit 14b		GO:0004864, GO:0005737, GO:0042325
LOC_00000523-mRNA-3	sp|Q3SZK8|NHRF1_BOVIN	*--	Na(+)/H(+) exchange regulatory cofactor NHE-RF1		GO:0001726, GO:0003096, GO:0005102, GO:0005576, GO:0005737, GO:0005886, GO:0005902, GO:0006814, GO:0007009, GO:0007097, GO:0007191, GO:0007605, GO:0008013, GO:0008104, GO:0008285, GO:0008360, GO:0008361, GO:0010642, GO:0010761, GO:0010764, GO:0010766, GO:0012505, GO:0016020, GO:0016055, GO:0016324, GO:0017081, GO:0019902, GO:0022612, GO:0030033, GO:0030036, GO:0030165, GO:0030175, GO:0030643, GO:0031526, GO:0031528, GO:0031698, GO:0031799, GO:0031800, GO:0032420, GO:0032426, GO:0032782, GO:0034635, GO:0042802, GO:0042995, GO:0043495, GO:0043621, GO:0044782, GO:0045177, GO:0045198, GO:0045199, GO:0045859, GO:0045930, GO:0048471, GO:0050780, GO:0051649, GO:0051683, GO:0051898, GO:0060088, GO:0060090, GO:0060158, GO:0070293, GO:0070373, GO:0070851, GO:0071944, GO:0072659, GO:0090090, GO:0090660, GO:0097225, GO:0097291, GO:0099103, GO:1903402, GO:2000146, GO:2001244
LOC_00000523-mRNA-4	sp|Q3SZK8|NHRF1_BOVIN	*--	Na(+)/H(+) exchange regulatory cofactor NHE-RF1		GO:0001726, GO:0003096, GO:0005102, GO:0005576, GO:0005737, GO:0005886, GO:0005902, GO:0006814, GO:0007009, GO:0007097, GO:0007191, GO:0007605, GO:0008013, GO:0008104, GO:0008285, GO:0008360, GO:0008361, GO:0010642, GO:0010761, GO:0010764, GO:0010766, GO:0012505, GO:0016020, GO:0016055, GO:0016324, GO:0017081, GO:0019902, GO:0022612, GO:0030033, GO:0030036, GO:0030165, GO:0030175, GO:0030643, GO:0031526, GO:0031528, GO:0031698, GO:0031799, GO:0031800, GO:0032420, GO:0032426, GO:0032782, GO:0034635, GO:0042802, GO:0042995, GO:0043495, GO:0043621, GO:0044782, GO:0045177, GO:0045198, GO:0045199, GO:0045859, GO:0045930, GO:0048471, GO:0050780, GO:0051649, GO:0051683, GO:0051898, GO:0060088, GO:0060090, GO:0060158, GO:0070293, GO:0070373, GO:0070851, GO:0071944, GO:0072659, GO:0090090, GO:0090660, GO:0097225, GO:0097291, GO:0099103, GO:1903402, GO:2000146, GO:2001244
LOC_00000523-mRNA-1	sp|Q3SZK8|NHRF1_BOVIN	*--	Na(+)/H(+) exchange regulatory cofactor NHE-RF1		GO:0001726, GO:0003096, GO:0005102, GO:0005576, GO:0005737, GO:0005886, GO:0005902, GO:0006814, GO:0007009, GO:0007097, GO:0007191, GO:0007605, GO:0008013, GO:0008104, GO:0008285, GO:0008360, GO:0008361, GO:0010642, GO:0010761, GO:0010764, GO:0010766, GO:0012505, GO:0016020, GO:0016055, GO:0016324, GO:0017081, GO:0019902, GO:0022612, GO:0030033, GO:0030036, GO:0030165, GO:0030175, GO:0030643, GO:0031526, GO:0031528, GO:0031698, GO:0031799, GO:0031800, GO:0032420, GO:0032426, GO:0032782, GO:0034635, GO:0042802, GO:0042995, GO:0043495, GO:0043621, GO:0044782, GO:0045177, GO:0045198, GO:0045199, GO:0045859, GO:0045930, GO:0048471, GO:0050780, GO:0051649, GO:0051683, GO:0051898, GO:0060088, GO:0060090, GO:0060158, GO:0070293, GO:0070373, GO:0070851, GO:0071944, GO:0072659, GO:0090090, GO:0090660, GO:0097225, GO:0097291, GO:0099103, GO:1903402, GO:2000146, GO:2001244
LOC_00000523-mRNA-2	sp|Q3SZK8|NHRF1_BOVIN	*--	Na(+)/H(+) exchange regulatory cofactor NHE-RF1		GO:0001726, GO:0003096, GO:0005102, GO:0005576, GO:0005737, GO:0005886, GO:0005902, GO:0006814, GO:0007009, GO:0007097, GO:0007191, GO:0007605, GO:0008013, GO:0008104, GO:0008285, GO:0008360, GO:0008361, GO:0010642, GO:0010761, GO:0010764, GO:0010766, GO:0012505, GO:0016020, GO:0016055, GO:0016324, GO:0017081, GO:0019902, GO:0022612, GO:0030033, GO:0030036, GO:0030165, GO:0030175, GO:0030643, GO:0031526, GO:0031528, GO:0031698, GO:0031799, GO:0031800, GO:0032420, GO:0032426, GO:0032782, GO:0034635, GO:0042802, GO:0042995, GO:0043495, GO:0043621, GO:0044782, GO:0045177, GO:0045198, GO:0045199, GO:0045859, GO:0045930, GO:0048471, GO:0050780, GO:0051649, GO:0051683, GO:0051898, GO:0060088, GO:0060090, GO:0060158, GO:0070293, GO:0070373, GO:0070851, GO:0071944, GO:0072659, GO:0090090, GO:0090660, GO:0097225, GO:0097291, GO:0099103, GO:1903402, GO:2000146, GO:2001244
LOC_00000235-mRNA-1	tr|A0A8D8K2L9|A0A8D8K2L9_CULPI	***	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000402-mRNA-1	tr|A0A8D8N4V4|A0A8D8N4V4_CULPI	*-*	SET and MYND domain-containing protein 4		GO:0043229, GO:0046872
LOC_00000346-mRNA-1	tr|B0XDR3|B0XDR3_CULQU	***	Cadherin domain-containing protein		GO:0005509, GO:0005886, GO:0007155, GO:0007156, GO:0016020
LOC_00000469-mRNA-1	sp|Q8TC07|TBC15_HUMAN	*-*	TBC1 domain family member 15		GO:0005096, GO:0005515, GO:0005576, GO:0005737, GO:0043087
LOC_00000469-mRNA-3	sp|Q8TC07|TBC15_HUMAN	*-*	TBC1 domain family member 15		GO:0005096, GO:0005515, GO:0005576, GO:0005737, GO:0043087
LOC_00000469-mRNA-2	sp|Q8TC07|TBC15_HUMAN	*-*	TBC1 domain family member 15		GO:0005096, GO:0005515, GO:0005576, GO:0005737, GO:0043087
LOC_00000469-mRNA-4	sp|Q8TC07|TBC15_HUMAN	*-*	TBC1 domain family member 15		GO:0005096, GO:0005515, GO:0005576, GO:0005737, GO:0043087
LOC_00000525-mRNA-1	tr|W5JBU5|W5JBU5_ANODA	***	Aldo-keto reductase		GO:0016491
LOC_00000414-mRNA-2	tr|A0A8D8FB25|A0A8D8FB25_CULPI	***	glutathione transferase		GO:0003824, GO:0016740
LOC_00000414-mRNA-1	tr|B0X5X4|B0X5X4_CULQU	***	glutathione transferase		GO:0003824, GO:0016740
LOC_00000440-mRNA-1	tr|A0A1Q3FXR2|A0A1Q3FXR2_CULTA	***	ZAD domain-containing protein		GO:0005634, GO:0008270, GO:0046872
LOC_00000156-mRNA-2	tr|A0A8D8BNQ4|A0A8D8BNQ4_CULPI	*-*	isoleucine--tRNA ligase		GO:0000049, GO:0000166, GO:0002161, GO:0004812, GO:0004822, GO:0005524, GO:0006412, GO:0006418, GO:0006428, GO:0016874, GO:0106074
LOC_00000156-mRNA-1	tr|A0A1Q3G1Z9|A0A1Q3G1Z9_CULTA	*-*	isoleucine--tRNA ligase		GO:0000049, GO:0000166, GO:0002161, GO:0004812, GO:0004822, GO:0005524, GO:0006412, GO:0006418, GO:0006428, GO:0016874, GO:0106074
LOC_00000202-mRNA-1	tr|B0W292|B0W292_CULQU	***	Valacyclovir hydrolase		GO:0016787
LOC_00000479-mRNA-1	tr|A0A8D8JPA6|A0A8D8JPA6_CULPI	***	Pre-mRNA-splicing factor CWC22 homolog		GO:0003723, GO:0016607
LOC_00000479-mRNA-2	tr|A0A8D8JPA6|A0A8D8JPA6_CULPI	***	Pre-mRNA-splicing factor CWC22 homolog		GO:0003723, GO:0016607
LOC_00000182-mRNA-1	tr|A0A8D8FZL9|A0A8D8FZL9_CULPI	*-*	AT-rich interactive domain-containing protein 2		GO:0003677
LOC_00000323-mRNA-1	tr|A0A8D8A4G8|A0A8D8A4G8_CULPI	***	La-related protein 7		GO:0003676, GO:0003723, GO:0005634, GO:0006396, GO:0007283, GO:1990904
LOC_00000420-mRNA-31	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-30	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000172-mRNA-1	tr|B0WAX0|B0WAX0_CULQU	***	Odorant receptor		GO:0004984, GO:0005549, GO:0005886, GO:0007165, GO:0007608, GO:0016020, GO:0050896, GO:0050911
LOC_00000420-mRNA-19	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-18	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-17	tr|B0X5Y4|B0X5Y4_CULQU	***	Splicing factor		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-16	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-15	tr|B0X5Y4|B0X5Y4_CULQU	***	Splicing factor		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-14	tr|B0X5Y4|B0X5Y4_CULQU	***	Splicing factor		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-13	tr|B0X5Y4|B0X5Y4_CULQU	***	Splicing factor		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-12	tr|B0X5Y4|B0X5Y4_CULQU	***	Splicing factor		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-11	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-10	tr|B0X5Y4|B0X5Y4_CULQU	***	Splicing factor		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-29	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-28	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-27	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-26	tr|B0X5Y4|B0X5Y4_CULQU	***	Splicing factor		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-25	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-24	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-23	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-22	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-21	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-20	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000212-mRNA-2	tr|A0A023EIH9|A0A023EIH9_AEDAL	***	Chromo domain-containing protein		GO:0000792, GO:0005634
LOC_00000212-mRNA-3	tr|A0A023EIH9|A0A023EIH9_AEDAL	***	Chromo domain-containing protein		GO:0000792, GO:0005634
LOC_00000212-mRNA-4	tr|A0A023EIH9|A0A023EIH9_AEDAL	***	Chromo domain-containing protein		GO:0000792, GO:0005634
LOC_00000212-mRNA-5	tr|A0A023EIH9|A0A023EIH9_AEDAL	***	Chromo domain-containing protein		GO:0000792, GO:0005634
LOC_00000212-mRNA-1	tr|A0A023EIH9|A0A023EIH9_AEDAL	***	Chromo domain-containing protein		GO:0000792, GO:0005634
LOC_00000335-mRNA-10	tr|A0A1S4JF98|A0A1S4JF98_CULQU	***	Anion exchange protein		GO:0005452, GO:0005886, GO:0006811, GO:0006820, GO:0008509, GO:0015698, GO:0016020, GO:0098656
LOC_00000335-mRNA-12	tr|A0A1S4JF98|A0A1S4JF98_CULQU	***	Anion exchange protein		GO:0005452, GO:0005886, GO:0006811, GO:0006820, GO:0008509, GO:0015698, GO:0016020, GO:0098656
LOC_00000335-mRNA-11	tr|A0A8D8C8G3|A0A8D8C8G3_CULPI	***	Anion exchange protein		GO:0005452, GO:0005886, GO:0006811, GO:0006820, GO:0008509, GO:0015291, GO:0015698, GO:0016020, GO:0016323, GO:0016328, GO:0055085, GO:0098656
LOC_00000335-mRNA-14	tr|A0A8D8AW94|A0A8D8AW94_CULPI	*-*	Sodium bicarbonate cotransporter 3		GO:0005452, GO:0006820, GO:0008509, GO:0015698, GO:0016020, GO:0098656
LOC_00000335-mRNA-13	tr|A0A1S4JF98|A0A1S4JF98_CULQU	***	Anion exchange protein		GO:0005452, GO:0005886, GO:0006811, GO:0006820, GO:0008509, GO:0015698, GO:0016020, GO:0098656
LOC_00000179-mRNA-1	tr|B0W279|B0W279_CULQU	*-*	Serine protease		GO:0004252, GO:0006508, GO:0008233, GO:0016787
LOC_00000358-mRNA-1	tr|A0A8D8IF90|A0A8D8IF90_CULPI	***	Alanine--tRNA ligase		GO:0000049, GO:0000166, GO:0003676, GO:0003723, GO:0004812, GO:0004813, GO:0005524, GO:0005737, GO:0006412, GO:0006419, GO:0008270, GO:0016874, GO:0043039, GO:0046872
LOC_00000358-mRNA-2	tr|A0A8D8IF90|A0A8D8IF90_CULPI	***	Alanine--tRNA ligase		GO:0000049, GO:0000166, GO:0003676, GO:0003723, GO:0004812, GO:0004813, GO:0005524, GO:0005737, GO:0006412, GO:0006419, GO:0008270, GO:0016874, GO:0043039, GO:0046872
LOC_00000293-mRNA-2	tr|B0WBK8|B0WBK8_CULQU	***	Multidrug resistance-associated protein		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000293-mRNA-1	tr|B0WBK8|B0WBK8_CULQU	***	Multidrug resistance-associated protein		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000277-mRNA-1	tr|A0A8D8FJA5|A0A8D8FJA5_CULPI	***	Zinc finger protein 620		GO:0005634
LOC_00000437-mRNA-1	tr|A0A8D8KGU3|A0A8D8KGU3_CULPI	***	(northern house mosquito) hypothetical protein		
LOC_00000437-mRNA-2	tr|A0A8D8KGU3|A0A8D8KGU3_CULPI	***	(northern house mosquito) hypothetical protein		
